pct,method,f1
0.02,supervised_only,0.0
0.02,self_training,0.0
0.02,label_spreading,0.0396
0.05,supervised_only,0.0
0.05,self_training,0.0
0.05,label_spreading,0.0563
0.1,supervised_only,0.0
0.1,self_training,0.0
0.1,label_spreading,0.0652
0.15,supervised_only,0.0556
0.15,self_training,0.125
0.15,label_spreading,0.1212
0.2,supervised_only,0.2469
0.2,self_training,0.3333
0.2,label_spreading,0.1429
0.3,supervised_only,0.4043
0.3,self_training,0.4082
0.3,label_spreading,0.1429
0.5,supervised_only,0.6486
0.5,self_training,0.5739
0.5,label_spreading,0.2075
0.75,supervised_only,0.6667
0.75,self_training,0.656
0.75,label_spreading,0.1923
1.0,supervised_only,0.7580645161290323
1.0,self_training,0.7580645161290323
1.0,label_spreading,0.7580645161290323
